,Entity,superregion2,iso3,Fruits,Non-starchy vegetables,Potatoes,Other starchy vegetables,Beans and legumes,Nuts and seeds,Refined grains,Whole grains,Total processed meats,Unprocessed red meats,Total seafoods,Eggs,Cheese,Yoghurt (including fermented milk),Sugar-sweetened beverages,Fruit juices,Coffee,Tea,Total carbohydrates,Total protein,Saturated fat,Monounsaturated fatty acids,Total omega-6 fat,Seafood omega-3 fat,Plant omega-3 fat,Dietary fiber,Added sugars,Calcium,Dietary sodium,Iodine,Iron,Magnesium,Potassium,Selenium,Vitamin A w/ supplements,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B6,Vitamin B9 (Folate),Vitamin B12,Vitamin C,Vitamin D,Vitamin E,Zinc,Total Milk,Year,Diabetes prevalence (% of population ages 20 to 79),Continent,ObesityRate,Population (2021),Gross National Income Per Capita (2021),Unit,Supply_ All food groups,Supply_ All food groups (excluding beverages),Supply_ Cereals and their products,"Supply_ Roots, tubers, plantains and their products","Supply_ Pulses, seeds and nuts and their products",Supply_ Milk and milk products,Supply_ Eggs and their products,"Supply_ Fish, shellfish and their products",Supply_ Meat and meat products,Supply_ Vegetables and their products,Supply_ Fruits and their products,Supply_ Fats and oils,Supply_ Sweets and sugars,Supply_ Spices and condiments,Supply_ Beverages,Supply_ Foods for particular nutritional uses,Supply_ Miscellaneous
21,Belize,LAC,BLZ,85.61413872,148.3001302,41.57715645,47.49803374,27.55996632,2.206001346,245.0544485,27.63166055,56.43535089,102.4890632,26.31780914,30.15662743,8.482218015,18.74664103,410.2489678,24.40977202,1.421877002,0.658332538,57.87623638,66.00668769,7.732726896,10.84121932,2.597478647,125.0737269,792.7750041,15.9414026,19.36454944,674.8527965,1977.92989,130.6465045,13.3463557,214.200542,2031.099028,115.9549068,822.1103119,1.225941872,1.249311135,16.00892064,1.233324169,363.1040807,3.194942054,90.79313171,2.991798105,13.42532346,8.33397411,133.9441858,2021,14.5,North America,41.58,400031,6309.099778,kcal/cap/d,2849,5554,904,68,84,214,17,23,294,42,21,455,493,6,145,17,68
22,Bolivia,LAC,BOL,86.59089005,112.1369069,51.74500331,74.26045768,11.26579038,11.64470066,226.7836182,29.36432292,16.45737988,96.3053378,13.92817419,21.30786002,10.82708796,16.63731055,347.7059971,23.96932881,0.441836529,0.629144012,48.82028995,56.23042762,11.48447553,11.17175333,2.59701156,17.04190763,863.287055,8.818785132,7.664586703,525.6297948,2238.710191,138.1181079,18.19241894,207.9286246,1891.706989,99.3055669,670.8762121,0.687279309,1.427702121,11.69713218,1.30097093,322.6226738,3.453652886,70.98047583,2.238016346,4.951489396,7.686616843,79.41825718,2021,5.5,South America,27.77,12079472,8111.190194,kcal/cap/d,2362,4609,944,271,88,73,25,6,347,35,72,152,225,3,114,2,5
23,Brazil,LAC,BRA,85.01999786,93.44627629,22.00470139,8.988968824,82.12440804,0.232899209,210.4650825,6.137852586,42.03066631,72.25964531,28.91716336,15.55722709,8.568498518,10.13454687,159.2146441,63.09235174,0.717695769,0.501868738,52.87128846,93.50169779,10.09479469,10.44510055,2.733851584,107.0394689,1950.015507,28.78546259,12.48837272,550.6206924,3129.64375,158.0656786,13.11259723,234.4670078,2214.969188,74.43375713,595.824886,1.41296378,1.379000787,18.33571293,0.921196259,428.5895419,5.395141171,133.8427626,2.663434139,5.6688154,11.85348832,182.3584704,2021,8.8,South America,27.15,213401323,14369.88848,kcal/cap/d,3299,6494,908,128,142,280,46,14,439,32,125,698,381,1,104,0,0
24,Barbados,LAC,BRB,129.4916455,143.1970651,43.18433143,46.73921925,6.893954398,8.749315102,238.6064629,89.93886538,12.40977116,65.89311751,45.82100653,70.88654979,7.79816223,20.59722766,579.3302188,4.659960364,0.917252177,0.666557938,56.81193039,58.50790984,8.923766384,8.283268968,2.869748005,1547.451461,259.6565111,38.59614987,19.94738503,584.0230541,2189.394218,167.1134853,11.88638872,250.9347515,1676.341406,117.4377559,1030.111238,1.1225763,1.192262614,17.37138891,1.164166167,309.0046839,3.05563087,73.86061369,3.097360997,12.00243801,5.20046501,64.57482064,2021,14,North America,37.28,281200,12306.341,kcal/cap/d,3175,6212,829,122,150,188,36,90,354,56,106,419,554,17,138,12,105
25,Brunei,Asia,BRN,82.87319256,162.9719739,13.02590781,17.18107194,34.325116,4.220320772,533.3142231,0.053830828,55.63389928,95.74376477,75.41185028,36.42552037,1.187648106,11.25797333,190.2397149,10.78309815,1.876544453,0.668978226,58.70765639,79.83309038,12.87140954,10.05449756,2.566435028,625.9287192,991.2593819,15.68742602,22.56764964,414.0354769,2742.510922,134.6987868,9.654174475,141.3985089,1504.381779,120.094811,558.0570313,0.973259099,1.256416998,13.14359713,1.014550064,172.9463269,3.477011197,41.82453427,0.413771347,17.59440022,5.15835349,51.03308004,2021,11.1,Asia,30.85,445373,64489.53954,NA,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,Bhutan,SAARC,BTN,97.84540687,297.5972733,92.17058962,18.33989741,70.72066227,6.555806856,689.2820734,45.42000542,1.803069831,19.32828195,24.50143331,14.31154706,0.966283765,9.425143416,105.6370521,3.876500927,0.774447555,1.041385494,68.19693199,55.41065275,6.600466327,6.020583646,2.583651439,113.6803178,709.8242352,32.31689929,13.85859589,485.1705327,3129.45835,109.433175,9.265687102,292.9290288,1600.561878,96.69402427,756.5501353,1.015921357,0.827373548,16.34438403,1.361666132,175.644653,1.954616662,46.88379139,0.17168425,10.53948233,7.016076845,102.6508567,2021,10.4,Asia,11.58,777486,9437.541512,kcal/cap/d,3241,6398,1833,128,74,285,24,14,64,45,29,367,179,99,85,1,14
27,Botswana,SSA,BWA,50.92125987,111.9629065,34.09246116,36.79926803,18.97716346,39.70249738,136.1824989,71.24098495,10.82293949,28.30319851,24.21779421,9.894705652,0.886524314,20.59453382,417.0085764,24.22568552,0.333970162,1.127816629,57.77111198,86.71152711,8.503321185,11.4996929,2.71574097,36.68677584,770.1458536,37.35212546,14.85901696,559.4064333,1932.830804,97.5558799,17.60279528,306.6279883,1607.912595,85.96209037,928.9954977,1.056322822,1.238321573,19.85826131,1.677270181,194.2362092,2.580340533,97.06355927,3.341380933,9.268604947,6.945058234,85.45671107,2021,5.2,Africa,17.87,2588423,16198.31841,kcal/cap/d,2606,4980,1051,115,58,281,5,5,127,33,36,327,257,19,232,6,55
28,Central African Republic,SSA,CAF,99.04964011,104.6651607,13.9808454,97.1542741,37.68584238,7.874166169,147.390175,48.33564,5.749197223,82.0489843,38.4901225,5.924156244,1.280508384,8.018636467,52.22090384,20.49809006,0.493138139,0.484750728,60.81186273,69.71890883,9.092161351,9.799273896,2.735065361,143.091328,1066.3691,23.50835804,0.128463044,511.4916509,1859.566635,71.29705484,18.49587708,312.4295085,3040.035404,91.32212888,1361.449254,1.066241063,1.157550308,17.12503403,1.514698741,203.7216602,2.314712759,93.93144686,2.092567126,10.3589278,6.650526716,11.46210876,2021,5.8,Africa,8.86,5457154,966.0586107,kcal/cap/d,1793,3567,283,627,251,24,1,13,193,13,61,229,78,0,20,0,1
29,Canada,HIC,CAN,136.0577291,131.6427252,42.96161482,14.03601876,18.88350004,17.33073198,109.8526901,59.37330385,23.46680292,44.75054793,17.25746558,24.40194083,29.4847559,26.41307468,139.0802481,88.72186558,2.733914596,0.636729888,49.5681236,83.97769964,10.98717392,12.01995597,2.535283527,136.3060011,1692.388465,15.3781811,9.95068229,811.2704802,2842.788984,195.9228286,12.37879247,319.048284,2832.164936,96.48098635,841.3763399,1.737319505,2.060699539,42.23211199,1.796368771,482.7515741,4.420649176,114.4145048,5.969848497,8.13432478,11.16669453,198.1648776,2021,7.7,North America,26.05,38155012,46807.98619,kcal/cap/d,3590,7050,851,149,175,252,54,32,345,76,125,929,435,11,131,5,20
30,Switzerland,HIC,CHE,137.9643035,115.2353086,53.75521517,36.61567492,2.662489763,6.92542421,77.45010142,44.57012206,20.64252402,47.84278443,40.27638678,15.87895761,28.54234705,65.66028703,111.7809156,40.11885362,1.357339118,0.770417903,46.0480369,63.01939794,13.58796949,13.52999361,2.654407304,348.6989083,1336.208833,15.55636401,5.150703451,884.7912537,2642.948011,183.1283453,7.014692764,295.2551759,2587.406568,90.45290032,585.4801006,1.150104562,1.70458304,24.25265367,1.861349927,235.1490718,4.528201686,122.2894721,1.585220745,7.128686192,9.218592757,106.7059721,2021,4.6,Europe,12.05,8691406,66933.00454,kcal/cap/d,3402,6611,594,72,107,507,41,27,343,70,109,705,613,7,193,0,14
